timestamp,y,hour,day_of_week
2025-01-24 12:00:00,81,12,4
2025-01-24 13:00:00,61,13,4
2025-01-24 14:00:00,85,14,4
2025-01-24 15:00:00,178,15,4
2025-01-24 16:00:00,193,16,4
2025-01-24 17:00:00,235,17,4
2025-01-24 18:00:00,33,18,4
2025-01-24 19:00:00,0,19,4
2025-01-24 20:00:00,0,20,4
2025-01-24 21:00:00,0,21,4
2025-01-24 22:00:00,0,22,4
2025-01-24 23:00:00,0,23,4
2025-01-25 00:00:00,0,0,5
2025-01-25 01:00:00,0,1,5
2025-01-25 02:00:00,0,2,5
2025-01-25 03:00:00,0,3,5
2025-01-25 04:00:00,0,4,5
2025-01-25 05:00:00,0,5,5
2025-01-25 06:00:00,0,6,5
2025-01-25 07:00:00,0,7,5
2025-01-25 08:00:00,0,8,5
2025-01-25 09:00:00,0,9,5
2025-01-25 10:00:00,0,10,5
2025-01-25 11:00:00,0,11,5
2025-01-25 12:00:00,0,12,5
2025-01-25 13:00:00,0,13,5
2025-01-25 14:00:00,0,14,5
2025-01-25 15:00:00,0,15,5
2025-01-25 16:00:00,0,16,5
2025-01-25 17:00:00,0,17,5
2025-01-25 18:00:00,0,18,5
2025-01-25 19:00:00,0,19,5
2025-01-25 20:00:00,0,20,5
2025-01-25 21:00:00,0,21,5
2025-01-25 22:00:00,0,22,5
2025-01-25 23:00:00,0,23,5
2025-01-26 00:00:00,0,0,6
2025-01-26 01:00:00,0,1,6
2025-01-26 02:00:00,0,2,6
2025-01-26 03:00:00,0,3,6
2025-01-26 04:00:00,0,4,6
2025-01-26 05:00:00,0,5,6
2025-01-26 06:00:00,0,6,6
2025-01-26 07:00:00,0,7,6
2025-01-26 08:00:00,0,8,6
2025-01-26 09:00:00,0,9,6
2025-01-26 10:00:00,0,10,6
2025-01-26 11:00:00,0,11,6
2025-01-26 12:00:00,0,12,6
2025-01-26 13:00:00,0,13,6
2025-01-26 14:00:00,0,14,6
2025-01-26 15:00:00,0,15,6
2025-01-26 16:00:00,0,16,6
2025-01-26 17:00:00,0,17,6
2025-01-26 18:00:00,0,18,6
2025-01-26 19:00:00,0,19,6
2025-01-26 20:00:00,0,20,6
2025-01-26 21:00:00,0,21,6
2025-01-26 22:00:00,0,22,6
2025-01-26 23:00:00,0,23,6
2025-01-27 00:00:00,0,0,0
2025-01-27 01:00:00,0,1,0
2025-01-27 02:00:00,0,2,0
2025-01-27 03:00:00,0,3,0
2025-01-27 04:00:00,0,4,0
2025-01-27 05:00:00,0,5,0
2025-01-27 06:00:00,11,6,0
2025-01-27 07:00:00,38,7,0
2025-01-27 08:00:00,70,8,0
2025-01-27 09:00:00,104,9,0
2025-01-27 10:00:00,135,10,0
2025-01-27 11:00:00,113,11,0
2025-01-27 12:00:00,84,12,0
2025-01-27 13:00:00,75,13,0
2025-01-27 14:00:00,91,14,0
2025-01-27 15:00:00,165,15,0
2025-01-27 16:00:00,216,16,0
2025-01-27 17:00:00,254,17,0
2025-01-27 18:00:00,43,18,0
2025-01-27 19:00:00,0,19,0
2025-01-27 20:00:00,0,20,0
2025-01-27 21:00:00,0,21,0
2025-01-27 22:00:00,0,22,0
2025-01-27 23:00:00,0,23,0
2025-01-28 00:00:00,0,0,1
2025-01-28 01:00:00,0,1,1
2025-01-28 02:00:00,0,2,1
2025-01-28 03:00:00,0,3,1
2025-01-28 04:00:00,0,4,1
2025-01-28 05:00:00,0,5,1
2025-01-28 06:00:00,26,6,1
2025-01-28 07:00:00,42,7,1
2025-01-28 08:00:00,81,8,1
2025-01-28 09:00:00,126,9,1
2025-01-28 10:00:00,155,10,1
2025-01-28 11:00:00,124,11,1
2025-01-28 12:00:00,103,12,1
2025-01-28 13:00:00,85,13,1
2025-01-28 14:00:00,94,14,1
2025-01-28 15:00:00,203,15,1
2025-01-28 16:00:00,266,16,1
2025-01-28 17:00:00,329,17,1
2025-01-28 18:00:00,39,18,1
2025-01-28 19:00:00,0,19,1
2025-01-28 20:00:00,0,20,1
2025-01-28 21:00:00,0,21,1
2025-01-28 22:00:00,0,22,1
2025-01-28 23:00:00,0,23,1
2025-01-29 00:00:00,0,0,2
2025-01-29 01:00:00,0,1,2
2025-01-29 02:00:00,0,2,2
2025-01-29 03:00:00,0,3,2
2025-01-29 04:00:00,0,4,2
2025-01-29 05:00:00,0,5,2
2025-01-29 06:00:00,23,6,2
2025-01-29 07:00:00,50,7,2
2025-01-29 08:00:00,69,8,2
2025-01-29 09:00:00,122,9,2
2025-01-29 10:00:00,164,10,2
2025-01-29 11:00:00,124,11,2
2025-01-29 12:00:00,97,12,2
2025-01-29 13:00:00,78,13,2
2025-01-29 14:00:00,112,14,2
2025-01-29 15:00:00,196,15,2
2025-01-29 16:00:00,299,16,2
2025-01-29 17:00:00,325,17,2
2025-01-29 18:00:00,44,18,2
2025-01-29 19:00:00,0,19,2
2025-01-29 20:00:00,0,20,2
2025-01-29 21:00:00,0,21,2
2025-01-29 22:00:00,0,22,2
2025-01-29 23:00:00,0,23,2
2025-01-30 00:00:00,0,0,3
2025-01-30 01:00:00,0,1,3
2025-01-30 02:00:00,0,2,3
2025-01-30 03:00:00,0,3,3
2025-01-30 04:00:00,0,4,3
2025-01-30 05:00:00,0,5,3
2025-01-30 06:00:00,29,6,3
2025-01-30 07:00:00,44,7,3
2025-01-30 08:00:00,81,8,3
2025-01-30 09:00:00,96,9,3
2025-01-30 10:00:00,154,10,3
2025-01-30 11:00:00,146,11,3
2025-01-30 12:00:00,107,12,3
2025-01-30 13:00:00,65,13,3
2025-01-30 14:00:00,112,14,3
2025-01-30 15:00:00,195,15,3
2025-01-30 16:00:00,233,16,3
2025-01-30 17:00:00,318,17,3
2025-01-30 18:00:00,39,18,3
2025-01-30 19:00:00,0,19,3
2025-01-30 20:00:00,0,20,3
2025-01-30 21:00:00,0,21,3
2025-01-30 22:00:00,0,22,3
2025-01-30 23:00:00,0,23,3
2025-01-31 00:00:00,0,0,4
2025-01-31 01:00:00,0,1,4
2025-01-31 02:00:00,0,2,4
2025-01-31 03:00:00,0,3,4
2025-01-31 04:00:00,0,4,4
2025-01-31 05:00:00,0,5,4
2025-01-31 06:00:00,25,6,4
2025-01-31 07:00:00,51,7,4
2025-01-31 08:00:00,92,8,4
2025-01-31 09:00:00,142,9,4
2025-01-31 10:00:00,209,10,4
2025-01-31 11:00:00,171,11,4
2025-01-31 12:00:00,102,12,4
2025-01-31 13:00:00,106,13,4
2025-01-31 14:00:00,139,14,4
2025-01-31 15:00:00,224,15,4
2025-01-31 16:00:00,319,16,4
2025-01-31 17:00:00,375,17,4
2025-01-31 18:00:00,53,18,4
2025-01-31 19:00:00,0,19,4
2025-01-31 20:00:00,0,20,4
2025-01-31 21:00:00,0,21,4
2025-01-31 22:00:00,0,22,4
2025-01-31 23:00:00,0,23,4
2025-02-01 00:00:00,0,0,5
2025-02-01 01:00:00,0,1,5
2025-02-01 02:00:00,0,2,5
2025-02-01 03:00:00,0,3,5
2025-02-01 04:00:00,0,4,5
2025-02-01 05:00:00,0,5,5
2025-02-01 06:00:00,0,6,5
2025-02-01 07:00:00,0,7,5
2025-02-01 08:00:00,0,8,5
