split,origin_timestamp,timestamp,actual,forecast,error,q00,q10,q20,q30,q40,q50,q60,q70,q80,q90
walk_forward,2023-09-12 17:25:00,2023-09-12 18:10:00,5859.1963,6634.801,-775.6045,6092.2373,755.0232,3168.0662,4570.8174,5642.3496,6634.801,7472.6562,8197.916,9105.476,10605.064
walk_forward,2023-09-12 17:25:00,2023-09-12 18:15:00,6239.8955,6794.0645,-554.16895,6015.7314,635.2776,3149.053,4578.2686,5792.7812,6794.0645,7642.5176,8480.341,9332.251,10902.8955
walk_forward,2023-09-12 17:25:00,2023-09-12 18:20:00,6620.5947,6786.9434,-166.34863,6181.9385,464.9099,2971.1843,4520.7285,5729.177,6786.9434,7836.9697,8641.173,9492.065,11053.396
walk_forward,2023-09-12 17:25:00,2023-09-12 18:25:00,7001.2935,6717.049,284.24463,6201.692,181.69818,2899.9263,4291.789,5596.421,6717.049,7757.575,8686.005,9421.996,11120.464
walk_forward,2023-09-12 18:25:00,2023-09-12 18:30:00,7381.9927,7201.486,180.50684,7095.341,5077.433,5980.166,6468.642,6834.3813,7201.486,7433.116,7713.591,8136.706,8872.614
walk_forward,2023-09-12 18:25:00,2023-09-12 18:35:00,7762.692,7465.75,296.9419,7402.3535,4557.732,5745.101,6374.252,7000.887,7465.75,7906.37,8313.33,8748.315,9736.913
walk_forward,2023-09-12 18:25:00,2023-09-12 18:40:00,8143.391,7638.9683,504.42285,7372.393,3959.7021,5400.6724,6291.954,7049.5405,7638.9683,8155.3257,8594.497,9339.638,10394.476
walk_forward,2023-09-12 18:25:00,2023-09-12 18:45:00,8524.09,7759.6196,764.4702,7678.4097,3350.0718,5178.989,6259.321,6984.4116,7759.6196,8446.995,8856.45,9688.323,11145.309
walk_forward,2023-09-12 18:25:00,2023-09-12 18:50:00,5003.22,7770.854,-2767.6338,7460.888,2643.606,4758.4297,5889.394,6941.4927,7770.854,8480.731,9120.965,9978.07,11474.219
walk_forward,2023-09-12 18:25:00,2023-09-12 18:55:00,5008.249,7733.3247,-2725.0757,7225.561,2254.6094,4460.8335,5846.4653,6823.6626,7733.3247,8597.374,9273.788,10309.34,11909.094
