split,timestamp,forecast,actual,error,q00,q10,q20,q30,q40,q50,q60,q70,q80,q90
80_10_10_test,2023-11-23 16:45:00,9016.38,1808.4171,-7207.963,8582.978,7070.1753,8246.085,8567.8545,8855.239,9016.38,9100.545,9100.545,9100.545,9100.545
60_20_20_validation,2023-08-07 07:50:00,3530.6912,3465.8367,-64.85449,3528.3457,3510.3408,3510.3408,3524.4858,3529.229,3530.6912,3533.6628,3537.4954,3537.4954,3546.232
60_20_20_validation,2023-08-07 07:55:00,3532.1624,3462.1628,-69.99951,3536.2917,3499.7327,3514.8044,3516.015,3527.9753,3532.1624,3536.3079,3548.8464,3548.8464,3549.426
60_20_20_validation,2023-08-07 08:00:00,3529.9277,3458.4893,-71.43848,3518.142,3490.75,3509.2354,3513.539,3526.3792,3529.9277,3529.9277,3532.9507,3532.9507,3548.8433
60_20_20_validation,2023-08-07 08:05:00,3520.8577,3454.8154,-66.04224,3531.3806,3471.857,3502.6982,3504.2795,3504.2795,3520.8577,3533.6965,3533.6965,3533.6965,3544.4504
60_20_20_validation,2023-08-07 08:10:00,3524.3354,3451.1416,-73.19385,3521.1377,3493.5303,3502.87,3514.4165,3515.3408,3524.3354,3530.0513,3530.0513,3534.101,3544.6816
60_20_20_validation,2023-08-07 08:15:00,3515.5747,3447.468,-68.10669,3533.414,3493.149,3499.1284,3500.9688,3511.9133,3515.5747,3515.5747,3518.9932,3531.6838,3531.6838
60_20_20_validation,2023-08-07 08:20:00,3506.8137,3443.7942,-63.01953,3518.515,3464.901,3486.523,3486.523,3503.297,3506.8137,3506.8137,3519.7239,3519.7239,3530.8303
60_20_20_validation,2023-08-07 08:25:00,3511.4507,3440.1204,-71.33032,3518.504,3461.1724,3499.3818,3499.3818,3509.7346,3511.4507,3526.8496,3526.8496,3526.8496,3548.346
60_20_20_validation,2023-08-07 08:30:00,3506.8054,3436.4468,-70.35864,3497.1785,3470.3352,3487.8787,3487.8787,3493.0154,3506.8054,3516.2332,3517.0286,3517.0286,3523.7727
60_20_20_validation,2023-08-07 08:35:00,3503.02,3432.773,-70.24707,3526.448,3472.687,3474.6548,3488.7227,3497.8613,3503.02,3505.171,3511.0132,3516.65,3529.184
60_20_20_validation,2023-08-07 08:40:00,3500.8772,3429.099,-71.778076,3489.3066,3463.4934,3463.4934,3487.8835,3487.8835,3500.8772,3513.9392,3513.9392,3520.8445,3520.8445
60_20_20_validation,2023-08-07 08:45:00,3494.209,3425.4255,-68.78345,3519.033,3443.86,3478.678,3483.3293,3487.6853,3494.209,3503.2136,3503.2136,3503.2136,3538.1475
60_20_20_test,2023-10-18 13:10:00,2231.987,2128.9429,-103.04419,2245.652,2202.3577,2202.3577,2218.9343,2224.3953,2231.987,2243.4553,2261.1013,2261.1013,2281.862
