date,lnncp,dow,dow_sin,dow_cos,zscore,flag_zscore,modified_zscore,flag_modified_zscore,flag_iqr,rolling_zscore,flag_rolling_zscore,iso_forest_score,flag_iso_forest,lof_score,flag_lof,vote_count,n_methods,is_anomaly
2023-04-22,-5750.89,5,-0.9749279121818236,-0.2225209339563146,-0.20531406471853947,False,-0.22427802014259593,False,False,-0.43804227206673424,False,0.5277613474781697,False,1.127007221866041,False,0,6,False
2023-04-23,-9146.19,6,-0.7818314824680299,0.6234898018587334,-1.097451623507883,False,-0.9445072493892133,False,False,-1.292033533447832,False,0.5138792487238489,False,1.0637760727923278,False,0,6,False
2023-04-24,-8974.93,0,0.0,1.0,-1.0524519244184762,False,-0.9081786605161312,False,False,-1.2847134540569036,False,0.49530171831014047,False,1.0274417537664058,False,0,6,False
2023-04-25,-1402.5,1,0.7818314824680298,0.6234898018587336,0.9372542029644323,False,0.6981257669052934,False,False,0.729422733477328,False,0.47331044051867316,False,1.0094604400007832,False,0,6,False
2023-04-26,-1930.96,2,0.9749279121818236,-0.22252093395631434,0.7983978384847643,False,0.5860260000252924,False,False,0.6159296616306702,False,0.4582130668792995,False,0.9812452007511373,False,0,6,False
2023-04-27,-673.35,3,0.43388373911755823,-0.900968867902419,1.1288431939199441,False,0.8527969719549712,False,False,0.8688364354283791,False,0.4545875261865775,False,0.9956057294226893,False,0,6,False
2023-04-28,-2686.52,4,-0.433883739117558,-0.9009688679024191,0.5998694451413554,False,0.4257525642612732,False,False,0.3088306997060015,False,0.4602146924401285,False,0.9761321431199075,False,0,6,False
2023-04-29,-1772.06,5,-0.9749279121818236,-0.2225209339563146,0.8401498657258407,False,0.6197327194690198,False,False,0.5856231563764291,False,0.44865952510085927,False,0.9837413076455617,False,0,6,False
2023-04-30,-1351.69,6,-0.7818314824680299,0.6234898018587334,0.9506048669299394,False,0.7089038563636684,False,False,0.6479487119896935,False,0.4577356824214807,False,0.985897410213723,False,0,6,False
2023-05-01,-9823.64,0,0.0,1.0,-1.275456097104278,False,-1.0882115734115736,False,False,-1.6470990144825821,False,0.5222008731851597,False,1.0989100553260376,False,0,6,False
2023-05-02,-9690.15,1,0.7818314824680298,0.6234898018587336,-1.2403807156290654,False,-1.0598949593238256,False,False,-1.6082909806514867,False,0.5223630719997873,False,1.1337727815519894,False,0,6,False
2023-05-03,-399.0,2,0.9749279121818236,-0.22252093395631434,1.2009304731747543,False,0.9109935640215955,False,False,0.9303507732911233,False,0.515973154806047,False,1.029171226297878,False,0,6,False
2023-05-04,-5764.72,3,0.43388373911755823,-0.900968867902419,-0.2089479888012587,False,-0.22721171384874286,False,False,-0.34584092323987686,False,0.4737968641781273,False,0.9974370988012907,False,0,6,False
2023-05-05,-900.61,4,-0.433883739117558,-0.9009688679024191,1.0691291239966778,False,0.804589363013615,False,False,0.836056082201534,False,0.4601491010859134,False,0.9767697435395698,False,0,6,False
2023-05-06,-4875.86,5,-0.9749279121818236,-0.2225209339563146,0.02460586225917674,False,-0.03866196781506435,False,False,-0.11901756893372333,False,0.4477682103843886,False,0.9762630014722185,False,0,6,False
2023-05-07,-7914.88,6,-0.7818314824680299,0.6234898018587334,-0.7739167672321764,False,-0.683315174384456,False,False,-0.8791081284812127,False,0.4491829187217304,False,0.9938097403236779,False,0,6,False
2023-05-08,-1019.39,0,0.0,1.0,1.0379188924315736,False,0.7793931129473726,False,False,0.7782393259623095,False,0.4711578748015653,False,0.9768121270416777,False,0,6,False
2023-05-09,-4323.66,1,0.7818314824680298,0.6234898018587336,0.1697000689459129,False,0.07847365507245133,False,False,-0.08370324710668102,False,0.4561483891353408,False,0.968152246030332,False,0,6,False
2023-05-10,-14214.48,2,0.9749279121818236,-0.22252093395631434,-2.4291783833925598,False,-2.019620081921931,False,False,-2.5899275496632512,False,0.554559259600195,False,1.090177687805591,False,0,6,False
2023-05-11,-241.79,3,0.43388373911755823,-0.900968867902419,1.2422384417245946,False,0.944341791609691,False,False,0.9361826284107171,False,0.5888566559902877,False,1.0820148992726768,False,0,6,False
2023-05-12,-868.61,4,-0.433883739117558,-0.9009688679024191,1.0775373359017406,False,0.8113773744812002,False,False,0.8157541107187681,False,0.5027180729875076,False,1.0256093743061805,False,0,6,False
2023-05-13,-4673.28,5,-0.9749279121818236,-0.2225209339563146,0.07783509875066355,False,0.0043103872819166816,False,False,-0.026571392502824278,False,0.4714431482870008,False,0.9997822540231918,False,0,6,False
